Model,TBS1072C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,2
Sample Interval,0.016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,20
Label,
TIME,CH2
-1.600e+01,-103.4
-1.598e+01,-103.4
-1.597e+01,-103.4
-1.595e+01,-103.4
-1.594e+01,-103.4
-1.592e+01,-103.4
-1.590e+01,-103.4
-1.589e+01,-103.4
-1.587e+01,-103.4
-1.586e+01,-103.4
-1.584e+01,-103.4
-1.582e+01,-103.4
-1.581e+01,-103.4
-1.579e+01,-103.4
-1.578e+01,-103.4
-1.576e+01,-103.4
-1.574e+01,-103.4
-1.573e+01,-103.4
-1.571e+01,-103.4
-1.570e+01,-103.4
-1.568e+01,-103.4
-1.566e+01,-103.4
-1.565e+01,-103.4
-1.563e+01,-103.4
-1.562e+01,-103.4
-1.560e+01,-103.4
-1.558e+01,-103.4
-1.557e+01,-103.4
-1.555e+01,-103.4
-1.554e+01,-103.4
-1.552e+01,-103.4
-1.550e+01,-103.4
-1.549e+01,-103.4
-1.547e+01,-103.4
-1.546e+01,-103.4
-1.544e+01,-103.4
-1.542e+01,-103.4
-1.541e+01,-103.4
-1.539e+01,-103.4
-1.538e+01,-103.4
-1.536e+01,-103.4
-1.534e+01,-103.4
-1.533e+01,-103.4
-1.531e+01,-103.4
-1.530e+01,-103.4
-1.528e+01,-103.4
-1.526e+01,-103.4
-1.525e+01,-103.4
-1.523e+01,-103.4
-1.522e+01,-103.4
-1.520e+01,-103.4
-1.518e+01,-103.4
-1.517e+01,-103.4
-1.515e+01,-103.4
-1.514e+01,-103.4
-1.512e+01,-103.4
-1.510e+01,-103.4
-1.509e+01,-103.4
-1.507e+01,-103.4
-1.506e+01,-103.4
-1.504e+01,-103.4
-1.502e+01,-103.4
-1.501e+01,-103.4
-1.499e+01,-103.4
-1.498e+01,-103.4
-1.496e+01,-103.4
-1.494e+01,-103.4
-1.493e+01,-103.4
-1.491e+01,-103.4
-1.490e+01,-103.4
-1.488e+01,-103.4
-1.486e+01,-103.4
-1.485e+01,-103.4
-1.483e+01,-103.4
-1.482e+01,-103.4
-1.480e+01,-103.4
-1.478e+01,-103.4
-1.477e+01,-103.4
-1.475e+01,-103.4
-1.474e+01,-103.4
-1.472e+01,-103.4
-1.470e+01,-0.2
-1.469e+01,-0.2
-1.467e+01,-0.2
-1.466e+01,-0.2
-1.464e+01,-0.2
-1.462e+01,-0.2
-1.461e+01,-0.2
-1.459e+01,-0.2
-1.458e+01,-0.2
-1.456e+01,-0.2
-1.454e+01,-0.2
-1.453e+01,-0.2
-1.451e+01,-0.2
-1.450e+01,-0.2
-1.448e+01,-0.2
-1.446e+01,0.6
-1.445e+01,-0.2
-1.443e+01,-0.2
-1.442e+01,-0.2
-1.440e+01,-0.2
-1.438e+01,-0.2
-1.437e+01,-0.2
-1.435e+01,0.6
-1.434e+01,-0.2
-1.432e+01,-0.2
-1.430e+01,-0.2
-1.429e+01,-0.2
-1.427e+01,-0.2
-1.426e+01,0.6
-1.424e+01,-0.2
-1.422e+01,-0.2
-1.421e+01,-0.2
-1.419e+01,-0.2
-1.418e+01,-0.2
-1.416e+01,0.6
-1.414e+01,-0.2
-1.413e+01,-0.2
-1.411e+01,-0.2
-1.410e+01,-0.2
-1.408e+01,-0.2
-1.406e+01,-0.2
-1.405e+01,-0.2
-1.403e+01,-0.2
-1.402e+01,0.6
-1.400e+01,-0.2
-1.398e+01,-0.2
-1.397e+01,-0.2
-1.395e+01,-0.2
-1.394e+01,-0.2
-1.392e+01,-0.2
-1.390e+01,-0.2
-1.389e+01,-0.2
-1.387e+01,-0.2
-1.386e+01,-1
-1.384e+01,-0.2
-1.382e+01,-0.2
-1.381e+01,0.6
-1.379e+01,0.6
-1.378e+01,-0.2
-1.376e+01,-0.2
-1.374e+01,-0.2
-1.373e+01,-0.2
-1.371e+01,0.6
-1.370e+01,-0.2
-1.368e+01,-0.2
-1.366e+01,-0.2
-1.365e+01,-0.2
-1.363e+01,-0.2
-1.362e+01,0.6
-1.360e+01,-0.2
-1.358e+01,-0.2
-1.357e+01,-0.2
-1.355e+01,-0.2
-1.354e+01,-0.2
-1.352e+01,-0.2
-1.350e+01,-0.2
-1.349e+01,-0.2
-1.347e+01,-0.2
-1.346e+01,-0.2
-1.344e+01,-0.2
-1.342e+01,-0.2
-1.341e+01,-0.2
-1.339e+01,0.6
-1.338e+01,-0.2
-1.336e+01,0.6
-1.334e+01,-0.2
-1.333e+01,-0.2
-1.331e+01,0.6
-1.330e+01,-0.2
-1.328e+01,-0.2
-1.326e+01,0.6
-1.325e+01,-0.2
-1.323e+01,-1
-1.322e+01,-0.2
-1.320e+01,-0.2
-1.318e+01,0.6
-1.317e+01,-0.2
-1.315e+01,-0.2
-1.314e+01,-0.2
-1.312e+01,-0.2
-1.310e+01,-0.2
-1.309e+01,-0.2
-1.307e+01,-0.2
-1.306e+01,-0.2
-1.304e+01,-0.2
-1.302e+01,-0.2
-1.301e+01,-0.2
-1.299e+01,-0.2
-1.298e+01,-0.2
-1.296e+01,-0.2
-1.294e+01,-0.2
-1.293e+01,-0.2
-1.291e+01,-0.2
-1.290e+01,-0.2
-1.288e+01,-0.2
-1.286e+01,0.6
-1.285e+01,-0.2
-1.283e+01,-0.2
-1.282e+01,-0.2
-1.280e+01,-0.2
-1.278e+01,-0.2
-1.277e+01,-0.2
-1.275e+01,-0.2
-1.274e+01,0.6
-1.272e+01,0.6
-1.270e+01,-0.2
-1.269e+01,-0.2
-1.267e+01,-0.2
-1.266e+01,-0.2
-1.264e+01,-0.2
-1.262e+01,-0.2
-1.261e+01,-0.2
-1.259e+01,0.6
-1.258e+01,0.6
-1.256e+01,-0.2
-1.254e+01,-0.2
-1.253e+01,-0.2
-1.251e+01,0.6
-1.250e+01,-1
-1.248e+01,-0.2
-1.246e+01,-0.2
-1.245e+01,-1
-1.243e+01,-0.2
-1.242e+01,0.6
-1.240e+01,-0.2
-1.238e+01,-0.2
-1.237e+01,-0.2
-1.235e+01,-0.2
-1.234e+01,-0.2
-1.232e+01,-0.2
-1.230e+01,-0.2
-1.229e+01,-0.2
-1.227e+01,0.6
-1.226e+01,-0.2
-1.224e+01,-0.2
-1.222e+01,-0.2
-1.221e+01,-0.2
-1.219e+01,0.6
-1.218e+01,-0.2
-1.216e+01,-0.2
-1.214e+01,-0.2
-1.213e+01,-0.2
-1.211e+01,-0.2
-1.210e+01,0.6
-1.208e+01,0.6
-1.206e+01,0.6
-1.205e+01,0.6
-1.203e+01,0.6
-1.202e+01,1.4
-1.200e+01,1.4
-1.198e+01,2.2
-1.197e+01,1.4
-1.195e+01,2.2
-1.194e+01,3
-1.192e+01,3.8
-1.190e+01,4.6
-1.189e+01,5.4
-1.187e+01,5.4
-1.186e+01,6.2
-1.184e+01,7
-1.182e+01,7.8
-1.181e+01,9.4
-1.179e+01,10.2
-1.178e+01,11
-1.176e+01,11.8
-1.174e+01,12.6
-1.173e+01,13.4
-1.171e+01,14.2
-1.170e+01,15.8
-1.168e+01,16.6
-1.166e+01,17.4
-1.165e+01,18.2
-1.163e+01,19
-1.162e+01,19.8
-1.160e+01,19.8
-1.158e+01,20.6
-1.157e+01,20.6
-1.155e+01,22.2
-1.154e+01,23
-1.152e+01,23
-1.150e+01,23.8
-1.149e+01,24.6
-1.147e+01,25.4
-1.146e+01,26.2
-1.144e+01,26.2
-1.142e+01,27
-1.141e+01,27
-1.139e+01,27.8
-1.138e+01,28.6
-1.136e+01,28.6
-1.134e+01,28.6
-1.133e+01,29.4
-1.131e+01,30.2
-1.130e+01,30.2
-1.128e+01,30.2
-1.126e+01,31
-1.125e+01,31
-1.123e+01,31
-1.122e+01,31
-1.120e+01,31.8
-1.118e+01,31.8
-1.117e+01,32.6
-1.115e+01,32.6
-1.114e+01,32.6
-1.112e+01,33.4
-1.110e+01,33.4
-1.109e+01,33.4
-1.107e+01,34.2
-1.106e+01,34.2
-1.104e+01,34.2
-1.102e+01,35
-1.101e+01,35.8
-1.099e+01,35.8
-1.098e+01,35.8
-1.096e+01,35.8
-1.094e+01,36.6
-1.093e+01,36.6
-1.091e+01,36.6
-1.090e+01,36.6
-1.088e+01,36.6
-1.086e+01,36.6
-1.085e+01,36.6
-1.083e+01,36.6
-1.082e+01,36.6
-1.080e+01,35.8
-1.078e+01,37.4
-1.077e+01,36.6
-1.075e+01,37.4
-1.074e+01,37.4
-1.072e+01,37.4
-1.070e+01,37.4
-1.069e+01,36.6
-1.067e+01,37.4
-1.066e+01,37.4
-1.064e+01,37.4
-1.062e+01,36.6
-1.061e+01,37.4
-1.059e+01,36.6
-1.058e+01,36.6
-1.056e+01,36.6
-1.054e+01,36.6
-1.053e+01,36.6
-1.051e+01,35.8
-1.050e+01,35
-1.048e+01,34.2
-1.046e+01,33.4
-1.045e+01,32.6
-1.043e+01,31
-1.042e+01,30.2
-1.040e+01,28.6
-1.038e+01,27
-1.037e+01,26.2
-1.035e+01,24.6
-1.034e+01,22.2
-1.032e+01,21.4
-1.030e+01,19.8
-1.029e+01,18.2
-1.027e+01,16.6
-1.026e+01,13.4
-1.024e+01,12.6
-1.022e+01,11
-1.021e+01,8.6
-1.019e+01,7
-1.018e+01,5.4
-1.016e+01,3
-1.014e+01,2.2
-1.013e+01,-0.2
-1.011e+01,-1.8
-1.010e+01,-3.4
-1.008e+01,-5
-1.006e+01,-7.4
-1.005e+01,-9
-1.003e+01,-10.6
-1.002e+01,-13
-1.000e+01,-13.8
-9.984e+00,-16.2
-9.968e+00,-17.8
-9.952e+00,-18.6
-9.936e+00,-20.2
-9.920e+00,-21.8
-9.904e+00,-23.4
-9.888e+00,-24.2
-9.872e+00,-26.6
-9.856e+00,-26.6
-9.840e+00,-28.2
-9.824e+00,-29
-9.808e+00,-29.8
-9.792e+00,-30.6
